error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Grim_Trigger,share_Random,share_Pavlov,share_Tit-for-Two-Tats,survivors
0.06,0.7,3,20260905,800,26,3.3178,194,1,0.056777,1.167933,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.7,4,20260906,800,26,3.3279,205,1,0.057116,1.169501,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.7,0,20260902,800,26,3.3402,207,1,0.080816,1.236956,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.7,1,20260903,800,26,3.3123,185,1,0.084250,1.246465,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.7,2,20260904,800,26,3.3015,206,1,0.073398,1.212370,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.7,3,20260905,800,26,3.3178,212,1,0.077769,1.228509,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.7,4,20260906,800,26,3.3279,199,1,0.078743,1.230684,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.7,0,20260902,800,26,3.3402,196,1,0.101412,1.295606,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.7,1,20260903,800,26,3.3123,181,1,0.104478,1.302828,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.7,2,20260904,800,26,3.3015,214,1,0.095194,1.274404,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.7,3,20260905,800,26,3.3178,229,1,0.096561,1.280088,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.7,4,20260906,800,26,3.3279,205,1,0.101294,1.293900,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.7,0,20260902,800,26,3.3402,196,1,0.118478,1.342487,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.7,1,20260903,800,26,3.3123,187,1,0.126277,1.366261,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.7,2,20260904,800,26,3.3015,231,1,0.117548,1.334016,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.7,3,20260905,800,26,3.3178,235,1,0.113754,1.328069,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.7,4,20260906,800,26,3.3279,209,1,0.119778,1.346026,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.7,0,20260902,800,26,3.3402,213,1,0.134563,1.387211,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.7,1,20260903,800,26,3.3123,201,1,0.144148,1.415947,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.7,2,20260904,800,26,3.3015,247,1,0.136736,1.385991,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.7,3,20260905,800,26,3.3178,244,1,0.132347,1.380248,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.7,4,20260906,800,26,3.3279,215,1,0.137893,1.397043,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.7,0,20260902,800,26,3.3402,231,1,0.156924,1.446842,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.7,1,20260903,800,26,3.3123,218,1,0.162804,1.464847,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.7,2,20260904,800,26,3.3015,257,1,0.156297,1.440201,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.7,3,20260905,800,26,3.3178,274,1,0.152939,1.434026,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.7,4,20260906,800,26,3.3279,227,1,0.156932,1.449723,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
